comment_text,matches_string
"@USER , ich glaube,Sie verkrnnen gründlich die Situation. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geht nicht ums Militär","deutschland, letzte"
"@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","linken, sau, alte, hund, skandal, esel, parteien, alten, hunde, amigo, linke"
"@MEDIUM ...stimmt so nicht ganz: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨","alte, alter"
"Warum man diesen Typen einlädt wird sich mir nie erschließen..... Nordkorea nix passiert , China hat man auch nicht in die Knie gezwungen..... Rassismus und Polarisierung wo man hinschaut in den USA.... und von Demokratie kaum zu reden muss man sich nur mal 9/11 von Herrn Moore anschauen. Die USA sind kein Vorbild mehr und schaffen Sich mit Trump gerade selbst ab.... niemand wird das mehr freuen als die Kommunisten in China und Russland..... Etwas muss man ihm jedoch lassen er verpackt es in einfache Worte die selbst der Dümmste versteht und redet nicht um den heissen Brei....das sollten sich die Möchtegern Politiker in Deutschland mal aneignen, hier hat man nur noch das subjektive Gefühl es wird stundenlang geredet und nichts gesagt","subjekt, deutschland, rassismus, assi, möchtegern, oo, typen, pack, geredet, gerede, kommunisten, redet, hauen, affen, affe, dümmste, reden"
"@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daher sollte es Sie schon interessieren, weil Deutschland Expotweltmeister ist.",deutschland
"Wenn es der Regierung bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Ausstoß um 50% verringert!","deutschland, nahm"
Aber die deutsche Industrie an die chinesen verkaufen. Das sind mir die richtigen,verkaufen
@USER Pest und Cholera.,pest
@USER und mit Maßnahmen auch. Verzweifelte die um ihre Existenz kämpften und kämpfen....,"nahm, verzweifelte"
"Abgesehen davon werden alte Autoreifen als Brennstoff für die Betonproduktion benutzt. Diese kann man aber runderneuern, und die Kautschukplantagen sind auch problematisch. Hintergrund: https://www.ardmediathek.de/ard/video/die-story/schmutzige-reifen-ein-milliardengeschaeft/wdr-fernsehen/Y3JpZDovL3dkci5kZS9CZWl0cmFnLTBjMmFlNGJjLTg4NGItNGJkMi1iZTIyLTMwZTlkZjAwNjNmYQ/","neue, schmutzig, alte, schmutz, neuer, schmutzige"
